Team1,Team2,Total_Matches,Team1_Total_Wins,Team2_Total_Wins,Draws,Team1_Goals_For,Team2_Goals_For,Team1_Win_Rate,Team2_Win_Rate,Goal_Difference
Aston Oroszlán,Crystal Palace,85,19,41,25,56,98,22.35,48.24,-42
Newcastle,Vörös Ördögök,85,19,45,21,94,153,22.35,52.94,-59
Aston Oroszlán,Fulham,85,18,40,27,61,98,21.18,47.06,-37
Fulham,Liverpool,85,17,47,21,61,110,20.0,55.29,-49
Brentford,Vörös Ördögök,85,17,44,24,79,128,20.0,51.76,-49
Newcastle,Tottenham,85,16,41,28,90,126,18.82,48.24,-36
Brighton,Everton,85,15,50,20,55,126,17.65,58.82,-71
Crystal Palace,Vörös Ördögök,85,15,49,21,50,118,17.65,57.65,-68
Crystal Palace,Everton,85,15,43,27,51,100,17.65,50.59,-49
Fulham,Tottenham,85,14,45,26,84,149,16.47,52.94,-65
Brighton,Liverpool,85,14,50,21,62,137,16.47,58.82,-75
Nottingham,Vörös Ördögök,85,14,59,12,64,163,16.47,69.41,-99
Brighton,Chelsea,85,13,55,17,51,153,15.29,64.71,-102
Brighton,Tottenham,85,13,53,19,59,142,15.29,62.35,-83
Aston Oroszlán,Manchester Kék,85,13,55,17,54,161,15.29,64.71,-107
Crystal Palace,Manchester Kék,85,13,53,19,55,137,15.29,62.35,-82
Aston Oroszlán,Brentford,85,12,38,35,53,102,14.12,44.71,-49
Crystal Palace,Liverpool,85,12,49,24,43,126,14.12,57.65,-83
Brentford,Chelsea,85,12,54,19,43,118,14.12,63.53,-75
Brighton,Vörös Ördögök,85,11,52,22,72,178,12.94,61.18,-106
Nottingham,Wolverhampton,85,11,54,20,68,147,12.94,63.53,-79
Crystal Palace,Tottenham,85,11,52,22,60,133,12.94,61.18,-73
Nottingham,Tottenham,85,10,54,21,54,151,11.76,63.53,-97
Aston Oroszlán,London Ágyúk,85,10,52,23,62,141,11.76,61.18,-79
Crystal Palace,London Ágyúk,85,10,39,36,56,120,11.76,45.88,-64
Brighton,Manchester Kék,85,9,52,24,64,165,10.59,61.18,-101
Aston Oroszlán,Everton,85,9,53,23,44,129,10.59,62.35,-85
Aston Oroszlán,Tottenham,85,9,53,23,61,151,10.59,62.35,-90
Aston Oroszlán,Chelsea,85,8,53,24,40,139,9.41,62.35,-99
Aston Oroszlán,Vörös Ördögök,85,7,58,20,54,160,8.24,68.24,-106
Aston Oroszlán,Liverpool,85,7,58,20,43,147,8.24,68.24,-104
Fulham,Manchester Kék,85,5,58,22,58,167,5.88,68.24,-109
